iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
LVA,Letônia,Q80021,Q211,0,77799,2024.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,67500,1960.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,110300,1977.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,45160,1935.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,29600,1945.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,40071,1938.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,115600,1979.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,69675,1897.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,98922,2013.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,58500,1956.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,112848,1913.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,80627,2021.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,58600,1955.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,95467,2016.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,51300,1940.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,100400,1970.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,102496,2011.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,13000,1860.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,108091,2007.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,14832,1944.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,120000,1995.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,112132,2003.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,103754,2010.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,88900,1966.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,40640,1925.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,43226,1930.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,82046,2020.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,79120,2022.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,129000,1989.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,104857,2009.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,112837,1914.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,78850,2023.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,84592,2017.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,22587,1946.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,50800,1950.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,82604,2019.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,2885,1825.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,31500,1920.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,65459,1959.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,3573,1784.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,101057,2012.0,55.871388888889,26.516111111111
LVA,Letônia,Q80021,Q211,0,78112,2025.0,55.871388888889,26.516111111111
LVA,Letônia,Q104036,Q211,0,15671,1935.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,50438,1989.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,27420,1959.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,50646,1989.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,39861,2016.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,40467,1970.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,34377,2019.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,32955,2022.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,47782,1979.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,35362,2017.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,38750,2011.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,43806,2005.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,36274,2015.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,41998,2012.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,32948,2023.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,33372,2021.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,7127,1897.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,43928,2000.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,16384,1925.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,33906,2020.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,32634,2024.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,8205,1920.0,57.389722222222,21.564444444444
LVA,Letônia,Q104036,Q211,0,32719,2025.0,57.389722222222,21.564444444444
LVA,Letônia,Q107582,Q97230394,0,14871,2020.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14871,2020.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16764,2011.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16764,2011.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18677,2001.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18677,2001.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18732,2000.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18732,2000.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16093,2013.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16093,2013.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18504,2006.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18504,2006.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18258,2007.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18258,2007.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8047,1925.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8047,1925.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15828,2014.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15293,2017.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14815,2021.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,20958,1979.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18144,2010.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6452,1920.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15034,2019.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18559,2002.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18171,2008.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18715,2004.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22013,1989.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18598,2005.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14766,2022.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8500,1939.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18237,2009.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14699,2024.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14713,2023.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,17696,1970.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14871,2020.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8047,1925.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15828,2014.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15293,2017.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14815,2021.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,20958,1979.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18144,2010.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6452,1920.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15034,2019.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18559,2002.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18171,2008.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18715,2004.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22013,1989.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18598,2005.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14766,2022.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8500,1939.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18237,2009.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14699,2024.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14713,2023.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,17696,1970.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,13839,1959.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16384,2012.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8748,1935.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22100,1991.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15466,2016.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15666,2015.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6356,1897.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15137,2018.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18480,2003.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15020,2025.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,17696,1970.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,17696,1970.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,13839,1959.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,13839,1959.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,13839,1959.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16384,2012.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16384,2012.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16384,2012.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8748,1935.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8748,1935.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8748,1935.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22100,1991.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22100,1991.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22100,1991.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15466,2016.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15466,2016.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15466,2016.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15666,2015.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15666,2015.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15666,2015.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6356,1897.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6356,1897.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6356,1897.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15137,2018.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15137,2018.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15137,2018.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18480,2003.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18480,2003.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18480,2003.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15020,2025.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15020,2025.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15020,2025.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,13839,1959.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,13839,1959.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16384,2012.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16384,2012.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8748,1935.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8748,1935.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22100,1991.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22100,1991.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15466,2016.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15466,2016.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15666,2015.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15666,2015.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6356,1897.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6356,1897.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15137,2018.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15137,2018.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18480,2003.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18480,2003.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15020,2025.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15020,2025.0,57.313055555556,25.274722222222
LVA,Letônia,Q108037,Q97233086,0,22757,2022.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,22585,2023.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,25093,2016.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,23125,2019.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,22961,2017.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,22971,2021.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,23050,2020.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,23432,2015.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,22376,2024.0,57.538055555556,25.423055555556
LVA,Letônia,Q108037,Q97233086,0,22811,2025.0,57.538055555556,25.423055555556
LVA,Letônia,Q124349,Q3760491,0,584,2007.0,57.351666666667,24.952222222222
LVA,Letônia,Q124349,Q7622321,0,584,2007.0,57.351666666667,24.952222222222
LVA,Letônia,Q124349,Q3760491,0,444,2021.0,57.351666666667,24.952222222222
LVA,Letônia,Q124349,Q7622321,0,444,2021.0,57.351666666667,24.952222222222
LVA,Letônia,Q124349,Q3760491,0,584,2007.0,57.351666666667,24.952222222222
LVA,Letônia,Q124349,Q7622321,0,584,2007.0,57.351666666667,24.952222222222
LVA,Letônia,Q124349,Q3760491,0,444,2021.0,57.351666666667,24.952222222222
LVA,Letônia,Q124349,Q7622321,0,444,2021.0,57.351666666667,24.952222222222
LVA,Letônia,Q155281,Q97231583,0,14232,1989.0,56.967222222222,21.97
LVA,Letônia,Q107582,Q97230394,0,16764,2011.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18677,2001.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18732,2000.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16093,2013.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18504,2006.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18258,2007.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8047,1925.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15828,2014.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15293,2017.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14815,2021.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,20958,1979.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18144,2010.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6452,1920.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15034,2019.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18559,2002.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18171,2008.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18715,2004.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22013,1989.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18598,2005.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14766,2022.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8500,1939.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18237,2009.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15828,2014.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15293,2017.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14815,2021.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,20958,1979.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18144,2010.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6452,1920.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15034,2019.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18559,2002.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18171,2008.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18715,2004.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22013,1989.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18598,2005.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14766,2022.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8500,1939.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18237,2009.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14699,2024.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14713,2023.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,17696,1970.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18144,2010.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6452,1920.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15034,2019.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18559,2002.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18171,2008.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18715,2004.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22013,1989.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18598,2005.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14766,2022.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8500,1939.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18237,2009.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14699,2024.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14713,2023.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14871,2020.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16764,2011.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18677,2001.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18732,2000.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16093,2013.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18504,2006.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18258,2007.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8047,1925.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15828,2014.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15293,2017.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14815,2021.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,20958,1979.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18144,2010.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,6452,1920.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15034,2019.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18559,2002.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18171,2008.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18715,2004.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,22013,1989.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18598,2005.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14766,2022.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8500,1939.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18237,2009.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14699,2024.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14699,2024.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14713,2023.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14713,2023.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,17696,1970.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14871,2020.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16764,2011.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18677,2001.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18732,2000.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16093,2013.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18504,2006.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18258,2007.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,8047,1925.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15828,2014.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,15293,2017.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14815,2021.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,20958,1979.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,14871,2020.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16764,2011.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18677,2001.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18732,2000.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,16093,2013.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18504,2006.0,57.313055555556,25.274722222222
LVA,Letônia,Q107582,Q97230394,0,18258,2007.0,57.313055555556,25.274722222222
LVA,Letônia,Q155281,Q97231583,0,14232,1989.0,56.967222222222,21.97
LVA,Letônia,Q155281,Q97231583,0,14232,1989.0,56.967222222222,21.97
LVA,Letônia,Q166684,Q97231916,0,8666,2007.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,8666,2007.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,9125,2001.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,9125,2001.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,6957,2020.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,6957,2020.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,6706,2023.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,6706,2023.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,6613,2024.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,6613,2024.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,8607,2008.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,7515,2015.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,9237,2000.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,6762,2022.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,5791,1970.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,8584,2009.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,2412,1897.0,57.514722222222,24.713055555556
LVA,Letônia,Q166684,Q97231916,0,8663,2006.0,57.514722222222,24.713055555556
