iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
BIH,Bósnia e Herzegovina,Q11194,http://www.wikidata.org/entity/Q18276,1,350000,,43.856388888889,18.413055555556
BIH,Bósnia e Herzegovina,Q131127,http://www.wikidata.org/entity/Q11196,0,185042,,44.7725,17.1925
BIH,Bósnia e Herzegovina,Q1258239,http://www.wikidata.org/entity/Q18276,0,126598,,43.866666666667,18.433333333333
BIH,Bósnia e Herzegovina,Q174684,http://www.wikidata.org/entity/Q19904705,0,110979,,44.5391105,18.675193
BIH,Bósnia e Herzegovina,Q93347,http://www.wikidata.org/entity/Q15508167,0,105448,,43.343611111111,17.8075
BIH,Bósnia e Herzegovina,Q323986,http://www.wikidata.org/entity/Q12291415,0,89397,,44.966666666667,16.7
BIH,Bósnia e Herzegovina,Q159818,http://www.wikidata.org/entity/Q609233,0,70747,,44.225421879448,17.666868517575
BIH,Bósnia e Herzegovina,Q204434,http://www.wikidata.org/entity/Q14103175,0,70732,,44.814722222222,15.869166666667
BIH,Bósnia e Herzegovina,Q184046,http://www.wikidata.org/entity/Q12756619,0,70553,,44.201666666667,17.903888888889
BIH,Bósnia e Herzegovina,Q169247,http://www.wikidata.org/entity/Q11196,0,68514,,44.733333333333,18.133333333333
BIH,Bósnia e Herzegovina,Q994203,http://www.wikidata.org/entity/Q12756695,0,66149,,44.966944444444,15.943055555556
BIH,Bósnia e Herzegovina,Q231517,http://www.wikidata.org/entity/Q1676217,0,63686,,44.383333333333,19.1
BIH,Bósnia e Herzegovina,Q963038,http://www.wikidata.org/entity/Q12756623,0,55950,,44.131111111111,18.097222222222
BIH,Bósnia e Herzegovina,Q1017976,http://www.wikidata.org/entity/Q12756642,0,46731,,44.533333333333,18.533333333333
BIH,Bósnia e Herzegovina,Q12756667,http://www.wikidata.org/entity/Q18248,0,43969,,44.766666666667,16.666666666667
BIH,Bósnia e Herzegovina,Q999004,http://www.wikidata.org/entity/Q11198,0,42762,,44.703055555556,18.492777777778
BIH,Bósnia e Herzegovina,Q207801,http://www.wikidata.org/entity/Q15622309,0,42278,,44.756666666667,19.215555555556
BIH,Bósnia e Herzegovina,Q994239,http://www.wikidata.org/entity/Q12756618,0,40272,,44.45,18.15
BIH,Bósnia e Herzegovina,Q193229,http://www.wikidata.org/entity/Q12756592,0,39938,,43.989444444444,18.180555555556
BIH,Bósnia e Herzegovina,Q322828,http://www.wikidata.org/entity/Q194483,0,39893,,44.878333333333,18.809166666667
