iso3,country,city_qid,admin_q,is_cap,pop,yr,lat,lon
TKM,Turcomenistão,Q23438,http://www.wikidata.org/entity/Q874,1,1030063,,37.95,58.383333333333
TKM,Turcomenistão,Q487684,http://www.wikidata.org/entity/Q487389,0,230861,,39.1,63.566666666667
TKM,Turcomenistão,Q487672,http://www.wikidata.org/entity/Q487393,0,227184,,41.816666666667,59.983055555556
TKM,Turcomenistão,Q5713,http://www.wikidata.org/entity/Q487401,0,208682,,37.6,61.833333333333
TKM,Turcomenistão,Q199762,http://www.wikidata.org/entity/Q486073,0,139000,,39.511944444444,54.365
TKM,Turcomenistão,Q812715,http://www.wikidata.org/entity/Q487401,0,110545,,37.616666666667,62.15
TKM,Turcomenistão,Q1015618,http://www.wikidata.org/entity/Q486073,0,89582,,38.976388888889,56.275833333333
TKM,Turcomenistão,Q488987,http://www.wikidata.org/entity/Q4466117,0,86800,,40.016666666667,52.966666666667
TKM,Turcomenistão,Q1983850,http://www.wikidata.org/entity/Q399899,0,77024,,37.38338,60.50545
TKM,Turcomenistão,Q1023619,http://www.wikidata.org/entity/Q4251382,0,64845,,37.81244,66.04656
TKM,Turcomenistão,Q115864157,,0,64086,,38.066666666667,58.066666666667
TKM,Turcomenistão,Q304522,http://www.wikidata.org/entity/Q23438,0,42868,,38.05,58.21666667
TKM,Turcomenistão,Q2357934,http://www.wikidata.org/entity/Q487389,0,39602,,37.816666666667,65.2
TKM,Turcomenistão,Q2985985,http://www.wikidata.org/entity/Q4283344,0,37705,,37.301388888889,62.358611111111
TKM,Turcomenistão,Q48472,http://www.wikidata.org/entity/Q487393,0,36754,,42.316666666667,59.158611111111
TKM,Turcomenistão,Q844968,http://www.wikidata.org/entity/Q399899,0,29606,,37.9,58.5
TKM,Turcomenistão,Q2996356,http://www.wikidata.org/entity/Q486073,0,28095,,39.402,53.1225
TKM,Turcomenistão,Q4152258,http://www.wikidata.org/entity/Q4533129,0,27455,,41.883333333333,59.633333333333
TKM,Turcomenistão,Q2661229,http://www.wikidata.org/entity/Q486073,0,26831,,39.2,54.589444444444
TKM,Turcomenistão,Q2980062,http://www.wikidata.org/entity/Q2343618,0,24702,,38.433333333333,57.434722222222
